,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
169,76012,1,Arlington,Tarrant County,32.76,-97.15,Texas,48439,147
170,78501,1,Mcallen,Hidalgo County,26.22,-98.24,Texas,48215,27
171,78211,1,San Antonio,Bexar County,29.34,-98.57,Texas,48029,113
180,77086,1,Houston,Harris County,29.92,-95.49,Texas,48201,271
181,76502,1,Temple,Bell County,31.1,-97.4,Texas,48027,41
182,76903,1,San Angelo,Tom Green County,31.47,-100.43,Texas,48451,11
186,78415,1,Corpus Christi,Nueces County,27.7,-97.5,Texas,48355,62
189,76502,1,Temple,Bell County,31.1,-97.4,Texas,48027,41
191,76022,1,Bedford,Tarrant County,32.83,-97.14,Texas,48439,147
193,77067,1,Houston,Harris County,29.95,-95.45,Texas,48201,271
194,77026,1,Houston,Harris County,29.8,-95.32,Texas,48201,271
197,78221,1,San Antonio,Bexar County,29.29,-98.47,Texas,48029,113
198,78130,1,New Braunfels,Comal County,29.7,-98.1,Texas,48091,11
199,76011,1,Arlington,Tarrant County,32.76,-97.08,Texas,48439,147
200,77545,1,Fresno,Fort Bend County,29.54,-95.47,Texas,48157,19
201,78109,1,Converse,Bexar County,29.48,-98.28,Texas,48029,113
202,77833,1,Brenham,Washington County,30.2,-96.4,Texas,48477,5
203,79029,1,Dumas,Moore County,35.8,-102.0,Texas,48341,4
204,76053,1,Hurst,Tarrant County,32.82,-97.17,Texas,48439,147
207,75766,1,Jacksonville,Cherokee County,31.9,-95.2,Texas,48073,5
209,78758,1,Austin,Travis County,30.38,-97.71,Texas,48453,52
210,77093,1,Houston,Harris County,29.86,-95.34,Texas,48201,271
211,75501,1,Texarkana,Bowie County,33.4,-94.2,Texas,48037,18
212,77338,1,Humble,Harris County,30.01,-95.29,Texas,48201,271
214,76227,1,Aubrey,Denton County,33.3,-97.0,Texas,48121,53
215,75946,1,Garrison,Nacogdoches County,31.8,-94.5,Texas,48347,20
216,75964,1,Nacogdoches,Nacogdoches County,31.6,-94.8,Texas,48347,20
217,78014,1,Cotulla,La Salle County,28.3,-99.1,Texas,48283,1
218,77306,1,Conroe,Montgomery County,30.27,-95.31,Texas,48339,28
219,78745,1,Austin,Travis County,30.21,-97.8,Texas,48453,52
220,75146,1,Lancaster,Dallas County,32.57,-96.74,Texas,48113,165
221,75223,1,Dallas,Dallas County,32.79,-96.75,Texas,48113,165
223,79106,1,Amarillo,Potter County,35.21,-101.89,Texas,48375,18
224,79602,1,Abilene,Taylor County,32.3,-99.7,Texas,48441,16
226,77091,1,Houston,Harris County,29.86,-95.44,Texas,48201,271
227,78566,1,Los Fresnos,Cameron County,26.2,-97.4,Texas,48061,26
230,78205,1,San Antonio,Bexar County,29.43,-98.49,Texas,48029,113
231,75482,1,Sulphur Springs,Hopkins County,33.2,-95.6,Texas,48223,2
232,76705,1,Waco,McLennan County,31.6,-97.1,Texas,48309,24
233,77082,1,Houston,Harris County,29.74,-95.64,Texas,48201,271
238,79407,1,Lubbock,Lubbock County,33.6,-102.1,Texas,48303,26
240,76227,1,Aubrey,Denton County,33.3,-97.0,Texas,48121,53
242,75237,1,Dallas,Dallas County,32.66,-96.87,Texas,48113,165
247,79764,1,Odessa,Ector County,31.9,-102.5,Texas,48135,13
248,79601,1,Abilene,Taylor County,32.6,-99.6,Texas,48441,16
249,79705,1,Midland,Midland County,32.0,-102.0,Texas,48329,7
250,79925,1,El Paso,El Paso County,31.79,-106.38,Texas,48141,31
251,75169,1,Wills Point,Van Zandt County,32.7,-96.0,Texas,48467,6
252,79705,1,Midland,Midland County,32.0,-102.0,Texas,48329,7
253,76119,1,Fort Worth,Tarrant County,32.7,-97.26,Texas,48439,147
254,78155,1,Seguin,Guadalupe County,29.6,-97.9,Texas,48187,12
255,78233,1,San Antonio,Bexar County,29.56,-98.37,Texas,48029,113
258,78109,1,Converse,Bexar County,29.48,-98.28,Texas,48029,113
261,77662,1,Vidor,Orange County,30.2,-94.0,Texas,48361,8
274,76539,1,Kempner,Lampasas County,31.1,-98.0,Texas,48281,7
275,75606,1,Longview,Gregg County,,,Texas,48183,15
276,77026,1,Houston,Harris County,29.8,-95.32,Texas,48201,271
283,75243,1,Dallas,Dallas County,32.91,-96.74,Texas,48113,165
284,76549,1,Killeen,Bell County,31.0,-97.8,Texas,48027,41
290,79549,1,Snyder,Scurry County,32.9,-100.9,Texas,48415,1
291,75067,1,Lewisville,Denton County,33.02,-96.99,Texas,48121,53
292,78415,1,Corpus Christi,Nueces County,27.7,-97.5,Texas,48355,62
293,77713,1,Beaumont,Jefferson County,30.1,-94.3,Texas,48245,15
294,78550,1,Harlingen,Cameron County,26.2,-97.7,Texas,48061,26
299,78413,1,Corpus Christi,Nueces County,27.68,-97.4,Texas,48355,62
300,77488,1,Wharton,Wharton County,29.3,-96.1,Texas,48481,5
301,78734,1,Austin,Travis County,30.38,-97.96,Texas,48453,52
302,77014,1,Houston,Harris County,29.99,-95.46,Texas,48201,271
304,79720,1,Big Spring,Howard County,32.3,-101.4,Texas,48227,1
305,76450,1,Graham,Young County,33.1,-98.7,Texas,48503,3
306,77450,1,Katy,Harris County,29.74,-95.74,Texas,48201,271
309,77008,1,Houston,Harris County,29.8,-95.42,Texas,48201,271
312,77449,1,Katy,Harris County,29.83,-95.73,Texas,48201,271
313,78114,1,Floresville,Wilson County,29.1,-98.2,Texas,48493,4
320,75048,1,Sachse,Dallas County,32.97,-96.58,Texas,48113,165
322,77901,1,Victoria,Victoria County,28.81,-96.98,Texas,48469,12
325,77076,1,Houston,Harris County,29.85,-95.38,Texas,48201,271
327,77447,1,Hockley,Harris County,30.1,-95.8,Texas,48201,271
331,76504,1,Temple,Bell County,31.13,-97.38,Texas,48027,41
332,79226,1,Clarendon,Donley County,35.0,-100.8,Texas,48129,1
333,77354,1,Magnolia,Montgomery County,30.2,-95.7,Texas,48339,28
335,77514,1,Anahuac,Chambers County,29.7,-94.6,Texas,48071,7
337,77017,1,Houston,Harris County,29.68,-95.26,Texas,48201,271
338,75104,1,Cedar Hill,Dallas County,32.59,-96.96,Texas,48113,165
340,75053,1,Grand Prairie,Dallas County,,,Texas,48113,165
343,78130,1,New Braunfels,Comal County,29.7,-98.1,Texas,48091,11
344,79763,1,Odessa,Ector County,31.8,-102.6,Texas,48135,13
348,77084,1,Houston,Harris County,29.83,-95.66,Texas,48201,271
349,75068,1,Little Elm,Denton County,33.15,-96.95,Texas,48121,53
350,78752,1,Austin,Travis County,30.34,-97.7,Texas,48453,52
351,77356,1,Montgomery,Montgomery County,30.4,-95.7,Texas,48339,28
354,76550,2,Lampasas,Lampasas County,31.1,-98.2,Texas,48281,7
355,78745,1,Austin,Travis County,30.21,-97.8,Texas,48453,52
356,79413,1,Lubbock,Lubbock County,33.56,-101.88,Texas,48303,26
362,75243,1,Dallas,Dallas County,32.91,-96.74,Texas,48113,165
365,78415,1,Corpus Christi,Nueces County,27.7,-97.5,Texas,48355,62
366,76901,1,San Angelo,Tom Green County,31.6,-100.6,Texas,48451,11
368,75032,1,Rockwall,Rockwall County,32.9,-96.4,Texas,48397,5
370,75115,1,Desoto,Dallas County,32.61,-96.87,Texas,48113,165
371,75189,3,Royse City,Rockwall County,32.9,-96.3,Texas,48397,5
372,77801,1,Bryan,Brazos County,30.64,-96.36,Texas,48041,8
373,76116,1,Fort Worth,Tarrant County,32.72,-97.46,Texas,48439,147
374,77320,1,Huntsville,Walker County,30.8,-95.5,Texas,48471,8
377,75691,1,Tatum,Rusk County,32.3,-94.6,Texas,48401,12
378,75706,1,Tyler,Smith County,32.5,-95.3,Texas,48423,20
379,77551,1,Galveston,Galveston County,29.28,-94.84,Texas,48167,29
380,78639,1,Kingsland,Llano County,30.68,-98.45,Texas,48299,6
381,77373,1,Spring,Harris County,30.07,-95.37,Texas,48201,271
385,75407,1,Princeton,Collin County,33.1,-96.5,Texas,48085,28
387,76567,3,Rockdale,Milam County,30.6,-97.0,Texas,48331,27
388,77477,1,Stafford,Fort Bend County,29.63,-95.56,Texas,48157,19
391,76060,1,Kennedale,Tarrant County,32.64,-97.21,Texas,48439,147
392,76542,1,Killeen,Bell County,31.0,-97.7,Texas,48027,41
394,76118,1,Fort Worth,Tarrant County,32.8,-97.19,Texas,48439,147
395,75703,1,Tyler,Smith County,32.2,-95.3,Texas,48423,20
399,79764,1,Odessa,Ector County,31.9,-102.5,Texas,48135,13
400,79373,1,Tahoka,Lynn County,33.2,-101.8,Texas,48305,1
401,77429,1,Cypress,Harris County,29.98,-95.66,Texas,48201,271
402,76905,1,San Angelo,Tom Green County,31.5,-100.3,Texas,48451,11
404,76905,1,San Angelo,Tom Green County,31.5,-100.3,Texas,48451,11
405,78251,1,San Antonio,Bexar County,29.46,-98.67,Texas,48029,113
406,78579,1,Progreso,Hidalgo County,26.094,-97.959,Texas,48215,27
407,78242,1,San Antonio,Bexar County,29.35,-98.6,Texas,48029,113
409,75161,1,Terrell,Kaufman County,32.7,-96.2,Texas,48257,7
410,77515,1,Angleton,Brazoria County,29.2,-95.4,Texas,48039,21
411,77510,1,Santa Fe,Galveston County,29.34,-95.09,Texas,48167,29
413,77840,1,College Station,Brazos County,30.61,-96.32,Texas,48041,8
414,78112,1,Elmendorf,Bexar County,29.2,-98.4,Texas,48029,113
418,77629,1,Nome,Jefferson County,30.02,-94.43,Texas,48245,15
419,77502,1,Pasadena,Harris County,29.68,-95.2,Texas,48201,271
422,79764,1,Odessa,Ector County,31.9,-102.5,Texas,48135,13
423,79045,1,Hereford,Deaf Smith County,34.9,-102.6,Texas,48117,6
427,76008,1,Aledo,Parker County,32.7,-97.6,Texas,48367,14
428,76116,1,Fort Worth,Tarrant County,32.72,-97.46,Texas,48439,147
429,76066,1,Millsap,Parker County,32.7,-98.0,Texas,48367,14
430,77840,1,College Station,Brazos County,30.61,-96.32,Texas,48041,8
435,78382,1,Rockport,Aransas County,28.1,-96.8,Texas,48007,4
440,77859,1,Hearne,Robertson County,30.8,-96.4,Texas,48395,1
441,79605,1,Abilene,Taylor County,32.43,-99.8,Texas,48441,16
442,78160,1,Stockdale,Wilson County,29.2,-97.9,Texas,48493,4
444,75457,1,Mount Vernon,Franklin County,33.2,-95.2,Texas,48159,1
445,76103,1,Fort Worth,Tarrant County,32.75,-97.27,Texas,48439,147
446,78363,1,Kingsville,Kleberg County,27.5,-97.7,Texas,48273,2
450,78201,1,San Antonio,Bexar County,29.48,-98.53,Texas,48029,113
455,76301,1,Wichita Falls,Wichita County,33.91,-98.48,Texas,48485,14
456,76052,1,Haslet,Tarrant County,32.98,-97.39,Texas,48439,147
458,76049,1,Granbury,Hood County,32.5,-97.7,Texas,48221,3
459,78214,1,San Antonio,Bexar County,29.33,-98.48,Texas,48029,113
461,76567,1,Rockdale,Milam County,30.6,-97.0,Texas,48331,27
462,77625,1,Kountze,Hardin County,30.4,-94.4,Texas,48199,10
464,78412,1,Corpus Christi,Nueces County,27.72,-97.35,Texas,48355,62
465,79111,1,Amarillo,Potter County,35.22,-101.69,Texas,48375,18
468,79905,1,El Paso,El Paso County,31.76,-106.43,Texas,48141,31
469,75904,1,Lufkin,Angelina County,31.4,-94.8,Texas,48005,7
470,77904,1,Victoria,Victoria County,28.9,-97.0,Texas,48469,12
472,78852,1,Eagle Pass,Maverick County,28.6,-100.3,Texas,48323,3
473,77345,1,Kingwood,Harris County,30.06,-95.16,Texas,48201,271
475,77615,1,Evadale,Jasper County,30.4,-94.0,Texas,48241,7
477,78363,1,Kingsville,Kleberg County,27.5,-97.7,Texas,48273,2
483,78238,1,San Antonio,Bexar County,29.47,-98.61,Texas,48029,113
484,77077,1,Houston,Harris County,29.75,-95.63,Texas,48201,271
485,78238,1,San Antonio,Bexar County,29.47,-98.61,Texas,48029,113
486,75020,1,Denison,Grayson County,33.76,-96.6,Texas,48181,12
487,78503,1,Mcallen,Hidalgo County,26.15,-98.25,Texas,48215,27
488,78250,1,San Antonio,Bexar County,29.5,-98.67,Texas,48029,113
492,78222,1,San Antonio,Bexar County,29.37,-98.39,Texas,48029,113
497,78542,1,Edinburg,Hidalgo County,26.4,-98.1,Texas,48215,27
498,77901,1,Victoria,Victoria County,28.81,-96.98,Texas,48469,12
499,78045,1,Laredo,Webb County,27.8,-99.6,Texas,48479,19
500,76853,1,Lometa,Lampasas County,31.2,-98.4,Texas,48281,7
505,77449,1,Katy,Harris County,29.83,-95.73,Texas,48201,271
506,75754,1,Ben Wheeler,Van Zandt County,32.4,-95.7,Texas,48467,6
508,78102,1,Beeville,Bee County,28.4,-97.7,Texas,48025,3
509,78220,1,San Antonio,Bexar County,29.41,-98.39,Texas,48029,113
510,75150,1,Mesquite,Dallas County,32.82,-96.63,Texas,48113,165
511,78415,1,Corpus Christi,Nueces County,27.7,-97.5,Texas,48355,62
516,77065,1,Houston,Harris County,29.92,-95.61,Texas,48201,271
517,77642,1,Port Arthur,Jefferson County,29.9,-93.93,Texas,48245,15
519,77066,1,Houston,Harris County,29.96,-95.5,Texas,48201,271
522,76132,1,Fort Worth,Tarrant County,32.66,-97.42,Texas,48439,147
523,78219,1,San Antonio,Bexar County,29.45,-98.38,Texas,48029,113
526,79110,1,Amarillo,Randall County,35.15,-101.87,Texas,48381,10
527,75657,1,Jefferson,Marion County,32.8,-94.4,Texas,48315,1
529,77038,1,Houston,Harris County,29.92,-95.45,Texas,48201,271
533,77036,1,Houston,Harris County,29.69,-95.53,Texas,48201,271
534,76014,1,Arlington,Tarrant County,32.69,-97.09,Texas,48439,147
536,78028,1,Kerrville,Kerr County,30.1,-99.2,Texas,48265,9
543,78147,1,Poth,Wilson County,29.08,-98.08,Texas,48493,4
545,76309,1,Wichita Falls,Wichita County,33.9,-98.54,Texas,48485,14
546,75969,1,Pollok,Angelina County,31.4,-94.9,Texas,48005,7
547,77465,1,Palacios,Matagorda County,28.6,-96.2,Texas,48321,4
552,79118,1,Amarillo,Randall County,35.1,-101.8,Texas,48381,10
554,76525,1,Evant,Coryell County,31.5,-98.1,Texas,48099,6
555,79928,1,El Paso,El Paso County,31.6,-106.1,Texas,48141,31
556,76040,1,Euless,Tarrant County,32.81,-97.1,Texas,48439,147
557,78660,1,Pflugerville,Travis County,30.43,-97.6,Texas,48453,52
558,76050,1,Grandview,Johnson County,32.3,-97.2,Texas,48251,15
560,76106,1,Fort Worth,Tarrant County,32.81,-97.36,Texas,48439,147
562,76522,1,Copperas Cove,Coryell County,31.2,-98.0,Texas,48099,6
564,78222,1,San Antonio,Bexar County,29.37,-98.39,Texas,48029,113
566,77028,1,Houston,Harris County,29.83,-95.29,Texas,48201,271
568,75706,1,Tyler,Smith County,32.5,-95.3,Texas,48423,20
570,78213,1,San Antonio,Bexar County,29.52,-98.53,Texas,48029,113
571,77414,1,Bay City,Matagorda County,28.9,-95.9,Texas,48321,4
572,78071,1,Three Rivers,Live Oak County,28.5,-98.1,Texas,48297,1
573,79015,1,Canyon,Randall County,34.9,-101.9,Texas,48381,10
574,76230,1,Bowie,Montague County,33.6,-98.0,Texas,48337,1
580,75672,1,Marshall,Harrison County,32.5,-94.3,Texas,48203,2
581,77301,1,Conroe,Montgomery County,30.3,-95.43,Texas,48339,28
582,75571,1,Omaha,Morris County,33.2,-94.7,Texas,48343,2
583,76117,1,Haltom City,Tarrant County,32.8,-97.26,Texas,48439,147
586,76117,1,Haltom City,Tarrant County,32.8,-97.26,Texas,48439,147
590,77479,1,Sugar Land,Fort Bend County,29.56,-95.64,Texas,48157,19
592,75068,1,Little Elm,Denton County,33.15,-96.95,Texas,48121,53
593,79735,1,Fort Stockton,Pecos County,30.6,-102.7,Texas,48371,3
596,77551,1,Galveston,Galveston County,29.28,-94.84,Texas,48167,29
597,77073,1,Houston,Harris County,30.0,-95.4,Texas,48201,271
599,78593,1,Santa Rosa,Cameron County,26.26,-97.81,Texas,48061,26
600,75150,1,Mesquite,Dallas County,32.82,-96.63,Texas,48113,165
605,79107,1,Amarillo,Potter County,35.23,-101.8,Texas,48375,18
608,77498,1,Sugar Land,Fort Bend County,29.64,-95.65,Texas,48157,19
610,78408,1,Corpus Christi,Nueces County,27.8,-97.45,Texas,48355,62
612,79103,1,Amarillo,Potter County,35.17,-101.81,Texas,48375,18
613,78248,1,San Antonio,Bexar County,29.59,-98.53,Texas,48029,113
615,76710,1,Waco,McLennan County,31.54,-97.19,Texas,48309,24
618,75021,1,Denison,Grayson County,33.74,-96.47,Texas,48181,12
620,78210,1,San Antonio,Bexar County,29.4,-98.46,Texas,48029,113
623,77469,1,Richmond,Fort Bend County,29.5,-95.7,Texas,48157,19
626,77550,1,Galveston,Galveston County,29.31,-94.77,Texas,48167,29
627,79925,1,El Paso,El Paso County,31.79,-106.38,Texas,48141,31
629,77357,1,New Caney,Montgomery County,30.2,-95.2,Texas,48339,28
632,75034,1,Frisco,Denton County,33.12,-96.88,Texas,48121,53
635,76067,1,Mineral Wells,Palo Pinto County,32.8,-98.2,Texas,48363,12
636,75217,1,Dallas,Dallas County,32.7,-96.68,Texas,48113,165
