ind,Zipcode,Score,City,County,Lat,Long,State,id,CountyScore
4180,30120,1,Cartersville,Bartow County,34.2,-84.8,Georgia,13015,295.0
4249,30121,2,Cartersville,Bartow County,34.2,-84.8,Georgia,13015,295.0
4305,30122,2,Lithia Springs,Douglas County,33.76,-84.65,Georgia,13097,550.0
4364,30124,1,Cave Spring,Floyd County,34.14,-85.35,Georgia,13115,379.0
4373,30125,1,Cedartown,Polk County,34.0,-85.3,Georgia,13233,233.0
4443,30126,1,Mableton,Cobb County,33.82,-84.55,Georgia,13067,1490.0
4480,30127,2,Powder Springs,Cobb County,33.9,-84.7,Georgia,13067,1490.0
4576,30132,2,Dallas,Paulding County,34.0,-84.9,Georgia,13223,314.0
4637,30134,1,Douglasville,Douglas County,33.8,-84.8,Georgia,13097,550.0
4768,30135,2,Douglasville,Douglas County,33.7,-84.7,Georgia,13097,550.0
4887,30137,2,Emerson,Bartow County,34.12,-84.77,Georgia,13015,295.0
4892,30139,2,Fairmount,Gordon County,34.4,-84.7,Georgia,13129,207.0
4899,30141,1,Hiram,Paulding County,33.86,-84.76,Georgia,13223,314.0
4943,30143,2,Jasper,Pickens County,34.5,-84.4,Georgia,13227,90.0
4982,30144,2,Kennesaw,Cobb County,34.03,-84.6,Georgia,13067,1490.0
5041,30145,1,Kingston,Bartow County,34.2,-85.0,Georgia,13015,295.0
5051,30147,2,Lindale,Floyd County,34.15,-85.22,Georgia,13115,379.0
5059,30148,2,Marble Hill,Pickens County,34.44,-84.29,Georgia,13227,90.0
5061,30152,2,Kennesaw,Cobb County,33.99,-84.64,Georgia,13067,1490.0
5100,30153,2,Rockmart,Polk County,34.0,-85.1,Georgia,13233,233.0
5152,30157,1,Dallas,Paulding County,33.9,-84.9,Georgia,13223,314.0
5227,30161,2,Rome,Floyd County,34.3,-85.2,Georgia,13115,379.0
5301,30164,2,Rome,Newton County,34.3,-85.2,Georgia,13217,619.0
5302,30165,2,Rome,Floyd County,34.3,-85.3,Georgia,13115,379.0
5422,30168,1,Austell,Cobb County,33.78,-84.59,Georgia,13067,1490.0
5529,30170,1,Roopville,Carroll County,33.4,-85.2,Georgia,13045,518.0
5532,30171,2,Rydal,Bartow County,34.36,-84.74,Georgia,13015,295.0
5538,30173,2,Silver Creek,Floyd County,34.14,-85.13,Georgia,13115,379.0
5553,30175,1,Talking Rock,Pickens County,34.5,-84.5,Georgia,13227,90.0
5563,30176,2,Tallapoosa,Haralson County,33.8,-85.3,Georgia,13143,117.0
5575,30178,1,Taylorsville,Bartow County,34.1,-85.0,Georgia,13015,295.0
5578,30179,2,Temple,Carroll County,33.8,-85.0,Georgia,13045,518.0
5617,30180,1,Villa Rica,Carroll County,33.7,-84.9,Georgia,13045,518.0
5687,30182,2,Waco,Carroll County,33.65,-85.25,Georgia,13045,518.0
5695,30183,1,Waleska,Cherokee County,34.34,-84.59,Georgia,13057,466.0
5700,30184,2,White,Bartow County,34.3,-84.7,Georgia,13015,295.0
5707,30185,2,Whitesburg,Carroll County,33.51,-84.91,Georgia,13045,518.0
