"City","city_ascii","id","State","county_fips","County","Lat","Long","population","population_proper","density","source","incorporated","timezone","Zipcode","nid"
"Hancock";"Hancock";"MI";"Michigan";26061;"Houghton";47.1355;-88.5987;4560;4560;681;"polygon";"true";"America/Detroit";"49930 49931";1840003920
"Lake Leelanau";"Lake Leelanau";"MI";"Michigan";26089;"Leelanau";44.9806;-85.7157;"null";"null";349.3;"polygon";"false";"America/Detroit";49653;1840025198
"Fowler";"Fowler";"MI";"Michigan";26037;"Clinton";43.0041;-84.7411;1218;1218;366;"polygon";"true";"America/Detroit";48835;1840011024
"Jonesville";"Jonesville";"MI";"Michigan";26059;"Hillsdale";41.9785;-84.6656;2212;2212;305;"polygon";"true";"America/Detroit";49250;1840011378
"Galesburg";"Galesburg";"MI";"Michigan";26077;"Kalamazoo";42.2911;-85.4182;2073;2073;566;"polygon";"true";"America/Detroit";49053;1840003184
"Central Lake";"Central Lake";"MI";"Michigan";26009;"Antrim";45.0693;-85.2618;936;936;338;"polygon";"true";"America/Detroit";49622;1840010002
"Free Soil";"Free Soil";"MI";"Michigan";26105;"Mason";44.1071;-86.2109;146;146;54;"polygon";"true";"America/Detroit";49411;1840010947
"Charlotte";"Charlotte";"MI";"Michigan";26045;"Eaton";42.5662;-84.8304;12657;9057;541;"polygon";"true";"America/Detroit";48813;1840003107
"Bentley";"Bentley";"MI";"Michigan";26017;"Bay";43.9481;-84.1344;"null";"null";106.3;"point";"false";"America/Detroit";48613;1840031567
"Paw Paw";"Paw Paw";"MI";"Michigan";26159;"Van Buren";42.2147;-85.8917;8400;3419;498;"polygon";"true";"America/Detroit";49079;1840011208
"Roosevelt Park";"Roosevelt Park";"MI";"Michigan";26121;"Muskegon";43.1981;-86.2733;3797;3797;1426;"polygon";"true";"America/Detroit";49441;1840002874
"Germfask";"Germfask";"MI";"Michigan";26153;"Schoolcraft";46.2494;-85.926;"null";"null";57.4;"point";"false";"America/Detroit";49836;1840031607
"Hudsonville";"Hudsonville";"MI";"Michigan";26139;"Ottawa";42.8631;-85.8628;7323;7323;686;"polygon";"true";"America/Detroit";49426;1840002997
"Lakeview";"Lakeview";"MI";"Michigan";26117;"Montcalm";43.4434;-85.2738;1005;1005;262;"polygon";"true";"America/Detroit";48850;1840010990
"Steuben";"Steuben";"MI";"Michigan";26153;"Schoolcraft";46.1883;-86.4568;"null";"null";14.2;"point";"false";"America/Detroit";49854;1840031747
"Marine City";"Marine City";"MI";"Michigan";26147;"St. Clair";42.7138;-82.5012;4102;4102;733;"polygon";"true";"America/Detroit";48039;1840003956
"Hazel Park";"Hazel Park";"MI";"Michigan";26125;"Oakland";42.4619;-83.0977;16489;16489;2259;"polygon";"true";"America/Detroit";48030;1840002444
"Lennon";"Lennon";"MI";"Michigan";26155;"Shiawassee";42.9855;-83.9325;487;487;205;"polygon";"true";"America/Detroit";48449;1840011012
"Frankenmuth";"Frankenmuth";"MI";"Michigan";26145;"Saginaw";43.3321;-83.7396;5277;5247;669;"polygon";"true";"America/Detroit";"48734 48787";1840002814
"Chase";"Chase";"MI";"Michigan";26085;"Lake";43.8892;-85.6356;"null";"null";143.7;"point";"false";"America/Detroit";49623;1840031716
"Novi";"Novi";"MI";"Michigan";26125;"Oakland";42.4786;-83.4893;59715;59715;762;"polygon";"true";"America/Detroit";"48377 48375 48374 48167 48376";1840002423
"Pleasant Ridge";"Pleasant Ridge";"MI";"Michigan";26125;"Oakland";42.4715;-83.1443;2467;2467;1691;"polygon";"true";"America/Detroit";48069;1840002426
"Willow";"Willow";"MI";"Michigan";26163;"Wayne";42.1153;-83.3955;"null";"null";418;"point";"false";"America/Detroit";48164;1840031698
"Shoreham";"Shoreham";"MI";"Michigan";26021;"Berrien";42.0605;-86.5115;844;844;555;"polygon";"true";"America/Detroit";49085;1840011229
"Ewen";"Ewen";"MI";"Michigan";26131;"Ontonagon";46.5352;-89.2813;"null";"null";165.9;"point";"false";"America/Detroit";49925;1840031720
"Sand Lake";"Sand Lake";"MI";"Michigan";26081;"Kent";43.29;-85.5192;528;528;287;"polygon";"true";"America/Detroit";49343;1840011005
"Ludington";"Ludington";"MI";"Michigan";26105;"Mason";43.9573;-86.4434;10690;8061;926;"polygon";"true";"America/Detroit";49431;1840002547
"Durand";"Durand";"MI";"Michigan";26155;"Shiawassee";42.9127;-83.9891;4669;3315;658;"polygon";"true";"America/Detroit";48429;1840003071
"Burlington";"Burlington";"MI";"Michigan";26025;"Calhoun";42.1046;-85.0785;258;258;141;"polygon";"true";"America/Detroit";49029;1840010119
"Cohoctah";"Cohoctah";"MI";"Michigan";26093;"Livingston";42.7598;-83.9486;"null";"null";133.1;"point";"false";"America/Detroit";48816;1840031583
"Dimondale";"Dimondale";"MI";"Michigan";26045;"Eaton";42.6485;-84.6475;1244;1244;539;"polygon";"true";"America/Detroit";48821;1840011084
"Grosse Pointe Shores";"Grosse Pointe Shores";"MI";"Michigan";26163;"Wayne";42.4367;-82.8769;"null";"null";1253.6;"point";"true";"America/Detroit";48236;1840031616
"Norway";"Norway";"MI";"Michigan";26043;"Dickinson";45.8019;-87.9132;2758;2758;122;"polygon";"true";"America/Menominee";49870;1840001990
"South Haven";"South Haven";"MI";"Michigan";26159;"Van Buren";42.4011;-86.2676;5717;4347;490;"polygon";"true";"America/Detroit";49090;1840003178
"Onsted";"Onsted";"MI";"Michigan";26091;"Lenawee";42.0061;-84.1894;947;947;342;"polygon";"true";"America/Detroit";49265;1840011374
"Champion";"Champion";"MI";"Michigan";26103;"Marquette";46.5138;-87.9635;"null";"null";42.8;"point";"false";"America/Detroit";49814;1840031577
"Forest Hills";"Forest Hills";"MI";"Michigan";26081;"Kent";42.9577;-85.4895;"null";"null";60;"polygon";"false";"America/Detroit";"49301 49546 49355 49356 49357 49516";1840004304
"Saint James";"Saint James";"MI";"Michigan";26029;"Charlevoix";45.7474;-85.5173;"null";"null";153.3;"polygon";"false";"America/Detroit";49782;1840025195
"Rockland";"Rockland";"MI";"Michigan";26131;"Ontonagon";46.738;-89.1796;"null";"null";168.6;"point";"false";"America/Detroit";49960;1840031736
"Hamilton";"Hamilton";"MI";"Michigan";26005;"Allegan";42.6772;-86.0061;"null";"null";431.8;"point";"false";"America/Detroit";49419;1840031618
"Hooper";"Hooper";"MI";"Michigan";26005;"Allegan";42.5103;-85.5628;"null";"null";40.8;"point";"false";"America/Detroit";49080;1840031623
"Kalkaska";"Kalkaska";"MI";"Michigan";26079;"Kalkaska";44.7322;-85.1782;2723;2062;251;"polygon";"true";"America/Detroit";49646;1840010929
"Houghton";"Houghton";"MI";"Michigan";26061;"Houghton";47.1123;-88.5679;15812;7888;709;"polygon";"true";"America/Detroit";49931;1840003919
"Mancelona";"Mancelona";"MI";"Michigan";26009;"Antrim";44.9024;-85.0613;1364;1364;525;"polygon";"true";"America/Detroit";49659;1840010925
"Hopkins";"Hopkins";"MI";"Michigan";26005;"Allegan";42.6251;-85.7633;612;612;493;"polygon";"true";"America/Detroit";49328;1840011092
"Dowagiac";"Dowagiac";"MI";"Michigan";26027;"Cass";41.9834;-86.1126;5952;5754;498;"polygon";"true";"America/Detroit";49047;1840003256
"Kawkawlin";"Kawkawlin";"MI";"Michigan";26017;"Bay";43.652;-83.943;"null";"null";346.1;"point";"false";"America/Detroit";48631;1840031631
"Wetmore";"Wetmore";"MI";"Michigan";26003;"Alger";46.3797;-86.6204;"null";"null";177.1;"point";"false";"America/Detroit";49895;1840031743
"Brown City";"Brown City";"MI";"Michigan";26151;"Sanilac";43.2115;-82.9881;1248;1248;426;"polygon";"true";"America/Detroit";48416;1840002699
"West Ishpeming";"West Ishpeming";"MI";"Michigan";26103;"Marquette";46.4884;-87.7171;"null";"null";509;"polygon";"false";"America/Detroit";49849;1840007674
"Nessen City";"Nessen City";"MI";"Michigan";26019;"Benzie";44.5202;-85.8729;"null";"null";54.8;"polygon";"false";"America/Detroit";49683;1840023946
"Delton";"Delton";"MI";"Michigan";26015;"Barry";42.4954;-85.4103;"null";"null";229.6;"polygon";"false";"America/Detroit";49046;1840024092
"Marlette";"Marlette";"MI";"Michigan";26151;"Sanilac";43.3268;-83.0807;1771;1771;423;"polygon";"true";"America/Detroit";48453;1840002701
"Gwinn";"Gwinn";"MI";"Michigan";26103;"Marquette";46.2912;-87.4372;"null";"null";546.2;"polygon";"false";"America/Detroit";49841;1840006567
"Tekonsha";"Tekonsha";"MI";"Michigan";26025;"Calhoun";42.0958;-84.9881;706;706;382;"polygon";"true";"America/Detroit";49092;1840011202
"Lyons";"Lyons";"MI";"Michigan";26067;"Ionia";42.9834;-84.9456;798;798;253;"polygon";"true";"America/Detroit";48851;1840011019
"Woodbury";"Woodbury";"MI";"Michigan";26045;"Eaton";42.7611;-85.0744;"null";"null";92.7;"point";"false";"America/Detroit";48849;1840031701
"Clare";"Clare";"MI";"Michigan";26035;"Clare";43.826;-84.7635;5501;3065;325;"polygon";"true";"America/Detroit";48617;1840002561
"Baie de Wasai";"Baie de Wasai";"MI";"Michigan";26033;"Chippewa";46.4614;-84.2448;"null";"null";30.3;"point";"false";"America/Detroit";49783;1840031564
"Woodland Beach";"Woodland Beach";"MI";"Michigan";26115;"Monroe";41.9418;-83.3141;"null";"null";1581.3;"polygon";"false";"America/Detroit";48162;1840007676
"Bach";"Bach";"MI";"Michigan";26063;"Huron";43.6831;-83.3558;"null";"null";13.4;"point";"false";"America/Detroit";48759;1840031562
"Houghton Lake";"Houghton Lake";"MI";"Michigan";26143;"Roscommon";44.3124;-84.7625;"null";"null";559;"polygon";"false";"America/Detroit";"48629 48651 48630";1840004091
"Filer City";"Filer City";"MI";"Michigan";26101;"Manistee";44.2149;-86.2889;"null";"null";129.3;"polygon";"false";"America/Detroit";"49634 49660";1840023962
"Marquette";"Marquette";"MI";"Michigan";26103;"Marquette";46.544;-87.4082;26029;20629;702;"polygon";"true";"America/Detroit";49855;1840003923
"Quinnesec";"Quinnesec";"MI";"Michigan";26043;"Dickinson";45.803;-87.9958;"null";"null";471.6;"polygon";"false";"America/Menominee";"49801 49876";1840004008
"Almont";"Almont";"MI";"Michigan";26087;"Lapeer";42.9208;-83.0435;2848;2801;804;"polygon";"true";"America/Detroit";48003;1840010065
"Baldwin";"Baldwin";"MI";"Michigan";26085;"Lake";43.8971;-85.8531;1192;1192;363;"polygon";"true";"America/Detroit";49304;1840010948
"Gardendale";"Gardendale";"MI";"Michigan";26147;"St. Clair";43.0386;-82.4924;"null";"null";257.2;"point";"false";"America/Detroit";48059;1840031752
"Hickory Corners";"Hickory Corners";"MI";"Michigan";26015;"Barry";42.4363;-85.3793;"null";"null";38.3;"polygon";"false";"America/Detroit";49060;1840024094
"Dexter";"Dexter";"MI";"Michigan";26161;"Washtenaw";42.3318;-83.8799;4469;4469;930;"polygon";"true";"America/Detroit";48130;1840011193
"Watersmeet";"Watersmeet";"MI";"Michigan";26053;"Gogebic";46.2872;-89.1937;"null";"null";213;"polygon";"false";"America/Menominee";49969;1840025269
"Quincy";"Quincy";"MI";"Michigan";26023;"Branch";41.9432;-84.8844;1615;1615;503;"polygon";"true";"America/Detroit";49082;1840011375
"Bergland";"Bergland";"MI";"Michigan";26131;"Ontonagon";46.5924;-89.5732;"null";"null";112.6;"point";"false";"America/Detroit";49910;1840031568
"Harvey";"Harvey";"MI";"Michigan";26103;"Marquette";46.4882;-87.3511;"null";"null";625.4;"polygon";"false";"America/Detroit";49855;1840006568
"Mount Pleasant";"Mount Pleasant";"MI";"Michigan";26073;"Isabella";43.5966;-84.7759;37206;25847;1292;"polygon";"true";"America/Detroit";"48858 48859";1840002663
"Michigamme";"Michigamme";"MI";"Michigan";26103;"Marquette";46.5334;-88.0627;"null";"null";183.8;"polygon";"false";"America/Detroit";49861;1840006566
"Holton";"Holton";"MI";"Michigan";26121;"Muskegon";43.4133;-86.0795;"null";"null";303.5;"point";"false";"America/Detroit";49425;1840031723
"Gladwin";"Gladwin";"MI";"Michigan";26051;"Gladwin";43.9836;-84.4877;2885;2884;385;"polygon";"true";"America/Detroit";48624;1840002564
"Milleville Beach";"Milleville Beach";"MI";"Michigan";26163;"Wayne";42.0495;-83.1869;"null";"null";343;"point";"false";"America/Detroit";48173;1840031647
"South Gull Lake";"South Gull Lake";"MI";"Michigan";26077;"Kalamazoo";42.3901;-85.4008;"null";"null";25.1;"polygon";"false";"America/Detroit";"49083 49012 49060";1840031757
"Fountain";"Fountain";"MI";"Michigan";26105;"Mason";44.0484;-86.181;196;196;73;"polygon";"true";"America/Detroit";49410;1840010946
"Boon";"Boon";"MI";"Michigan";26165;"Wexford";44.288;-85.5975;"null";"null";106.7;"polygon";"false";"America/Detroit";49618;1840023967
"Richland";"Richland";"MI";"Michigan";26077;"Kalamazoo";42.3762;-85.4553;800;800;304;"polygon";"true";"America/Detroit";49083;1840011211
"New Lothrop";"New Lothrop";"MI";"Michigan";26155;"Shiawassee";43.1168;-83.9693;560;560;249;"polygon";"true";"America/Detroit";48460;1840011014
